Date,Time of day,Litter Type,Pre-Pumpkin,Poop
9/23,am,Corn,1,-1
9/23,pm,Corn,1,-1
9/24,am,Corn,1,1
9/24,pm,Corn,1,-1
9/25,am,Corn,1,-1
9/25,pm,Corn,1,-1
9/26,am,Corn,1,-1
9/26,pm,Corn,1,0
9/27,am,Corn,1,-1
9/27,pm,Corn,1,-1
9/28,am,Corn,1,1
9/28,pm,Corn,1,0
9/29,am,Corn,1,-1
9/29,pm,Corn,1,0
9/30,am,Clay,1,1
9/30,pm,Clay,1,1
10/1,am,Clay,1,1
10/1,pm,Clay,1,1
10/2,am,Clay,1,1
10/2,pm,Clay,1,1
10/3,am,Clay,1,1
10/3,pm,Clay,1,1
10/4,am,Clay,1,0
10/4,pm,Clay,1,0
10/5,am,Clay,1,-1
10/5,pm,Clay,1,0
10/6,am,Clay,1,1
10/6,pm,Clay,1,1
10/7,am,Clay,1,1
10/7,pm,Clay,1,1
10/8,am,Clay,1,1
10/8,pm,Clay,1,-1
10/9,am,Clay,1,-1
10/9,pm,Clay,1,1
10/10,am,Clay,1,-1
10/10,pm,Clay,1,1
10/11,am,Clay,1,1
10/11,pm,Clay,1,0
10/12,am,Clay,1,1
10/12,pm,Clay,1,1
10/13,am,Clay,1,1
10/13,pm,Clay,1,1
10/14,am,Clay,1,1
10/14,pm,Clay,1,1
10/15,am,Clay,1,1
10/15,pm,Clay,1,1
10/16,am,Clay,1,1
10/16,pm,Clay,1,1
10/17,am,Clay,1,1
10/17,pm,Clay,1,1
10/18,am,Clay,1,1
10/18,pm,Clay,1,1
10/19,am,Clay,1,0
10/19,pm,Clay,1,0
10/20,am,Clay,1,-1
10/20,pm,Clay,1,0
10/21,am,Clay,1,0
10/21,pm,Clay,1,-1
10/22,am,Clay,1,1
10/22,pm,Clay,1,1
10/23,am,Clay,1,1
10/23,pm,Clay,1,1
10/24,am,Clay,1,1
10/24,pm,Clay,1,1
10/25,am,Clay,1,1
10/25,pm,Clay,1,1
10/26,am,Clay,1,-1
10/26,pm,Clay,1,1
10/27,am,Clay,0,1
10/27,pm,Clay,0,1
10/28,am,Clay,0,1
10/28,pm,Clay,0,1
10/29,am,Clay,0,1
10/29,pm,Clay,0,1
10/30,am,Clay,0,1
10/30,pm,Clay,0,1
10/31,am,Clay,0,1
10/31,pm,Clay,0,-1
11/1,am,Clay,0,-1
11/1,pm,Clay,0,0
11/2,am,Clay,0,-1
11/2,pm,Clay,0,0
11/3,am,Clay,0,1
11/3,pm,Clay,0,-1